"Informazioni cronologiche","Quanti anni hai?","Sesso?","Hai mai svolto la professione di Personal Trainer/istruttore in una palestra oppure online?","Fornisci i programmi di allenamento ai clienti che segui? Se sì, come li fornisci?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Segui i progressi prestazionali dei tuoi clienti? Se sì, come li registri?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Effettui le comunicazioni di servizio riguardanti la palestra ai tuoi clienti? Se sì, come?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo metodo?","Dai consigli ai tuoi clienti riguardo l'alimentazione da seguire?","Ti sei mai allenato in palestra?","Con che frequenza ti alleni?","In che modo organizzi il tuo allenamento?","Per quale motivo vai in palestra?","Su che supporto segui il tuo programma di allenamento?","In riferimento alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Perché?","L'istruttore ti ha mai dato consigli riguardo l'alimentazione da seguire?","Porti il tuo smartphone in palestra?","Se porti il tuo smartphone in palestra, quanto pensi sia utile ai fini dell'allenamento?","Nella tua palestra riesci a connetterti ad internet?","Hai mai avuto bisogno che qualcuno ti spiegasse come usare uno specifico attrezzo in palestra? Se sì, a chi hai chiesto?","Registri i tuoi progressi prestazionali? Se sì, in che modo?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?","Hai mai sentito la necessità di registrare/vedere i tuoi progressi prestazionali?","In che modo vorresti visualizzare i tuoi progressi?","In che modo ricevi comunicazioni riguardanti la palestra?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?"
"2019/11/07 2:49:47 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","A memoria","6","","Sì","Sì, lo porto con me durante gli esercizi","3","Non lo so","No, Non ne ho mai avuto bisogno","No, non li registro","1","","No","","Leggendo gli avvisi esposti in palestra","3",""
"2019/11/07 2:49:48 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 2:52:50 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","6","","No","Sì, ma lo lascio in borsa","2","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 2:54:11 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Come integrazione ad un'altra attività sportiva esterna alla palestra","A memoria","6","","Sì","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 2:54:34 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per mantenere la forma fisica;Per incrementare la mia forza;Per diventare come KARS","Su una scheda cartacea","1","Perchè perdo il pezzo di carta o esplode per autocombustione","Sì","Sì, lo porto con me durante gli esercizi","4","No","No, Non ne ho mai avuto bisogno","No, non li registro","","","Sì","Un modellino tridimensionale di me stessa  che cambia forma con l aumentare dei progressi","Non ricevo comunicazioni","",""
"2019/11/07 2:55:03 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","4","Si a qualche domanda???","No","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","6","","","","Leggendo gli avvisi esposti in palestra","5",""
"2019/11/07 2:57:48 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","4","","Sì","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","No, non li registro","","","No","Grafico","Non ricevo comunicazioni","",""
"2019/11/07 3:01:20 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Uso una app per smartphone che mi fornisce un programma di allenamento","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 3:01:38 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per svago","Su una scheda cartacea","1","","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/07 3:03:51 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare","","","","","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, all'istruttore","Tramite un dietologo","","","","","Leggendo gli avvisi esposti in palestra","",""
